# lnl weight tau omegabh2 omegach2 logA theta ns
3.740548999999999978e+03 8.000000000000000000e+00 7.415283999999999764e-02 2.209550999999999876e-02 1.190858999999999945e-01 3.211219389024991600e+00 1.040549784087189955e-02 9.564589000000000008e-01
3.739092000000000098e+03 1.000000000000000000e+00 6.759152000000000216e-02 2.232862999999999862e-02 1.171622999999999970e-01 3.183745104280730320e+00 1.040070254908295917e-02 9.599267999999999690e-01
3.739688999999999851e+03 1.000000000000000000e+00 7.772075999999999985e-02 2.182175999999999907e-02 1.190432000000000018e-01 3.252828841886185263e+00 1.038178991022640010e-02 9.431671000000000360e-01
3.741893999999999778e+03 2.000000000000000000e+00 7.694462999999999997e-02 2.189015999999999879e-02 1.098271999999999998e-01 3.209681284333562701e+00 1.040473602849354036e-02 9.491536000000000417e-01
3.742603999999999814e+03 1.600000000000000000e+01 7.022042000000000561e-02 2.214102000000000084e-02 1.061712999999999962e-01 3.174357005503655849e+00 1.039976634377355082e-02 9.516848999999999448e-01
3.742336999999999989e+03 1.200000000000000000e+01 1.050853000000000065e-01 2.281561000000000006e-02 1.023692999999999964e-01 3.183445519036232518e+00 1.040939676486346034e-02 9.686377999999999933e-01
3.740108000000000175e+03 1.000000000000000000e+00 1.190273000000000025e-01 2.281930999999999890e-02 1.089051999999999937e-01 3.232583444698061914e+00 1.037582523209330983e-02 9.681823999999999986e-01
3.741610999999999876e+03 1.000000000000000000e+00 1.061374999999999957e-01 2.227494000000000002e-02 1.092776000000000025e-01 3.259140992389073066e+00 1.034160125320440944e-02 9.489551999999999987e-01
3.741590000000000146e+03 3.000000000000000000e+00 1.046424999999999994e-01 2.274193999999999868e-02 1.074492999999999976e-01 3.237589624312301240e+00 1.038650635497830044e-02 9.527198999999999529e-01
3.740862000000000080e+03 6.000000000000000000e+00 8.902517999999999543e-02 2.280984000000000136e-02 1.068308000000000035e-01 3.203433198937342574e+00 1.040326230876890967e-02 9.545129999999999448e-01
3.740894999999999982e+03 6.000000000000000000e+00 9.544937000000000560e-02 2.326231999999999953e-02 1.076132999999999951e-01 3.185457191051676240e+00 1.043427032019043042e-02 9.672332999999999625e-01
3.739440999999999804e+03 5.000000000000000000e+00 9.568115000000000647e-02 2.321418000000000093e-02 1.108724999999999988e-01 3.182740746244455021e+00 1.042222666896401931e-02 9.746245999999999521e-01
3.739144999999999982e+03 1.500000000000000000e+01 9.581858999999999515e-02 2.301011999999999849e-02 1.160492999999999941e-01 3.208536558389377014e+00 1.038264839308254001e-02 9.714589999999999614e-01
